,Hugo_Symbol,Tumor_Sample_Barcode
15,EPHA5,3.4469096671949284
25,SMG1,2.822900158478605
55,STK31,2.208795562599049
65,EPHA2,2.0800316957210776
74,FLT3,1.9215530903328049
84,ROR2,1.8324088748019016
146,ABL1,1.386687797147385
155,PTK2,1.3569730586370838
164,BTK,1.347068145800317
167,PTK2B,1.317353407290016
170,BUB1,1.3074484944532487
173,MAP2K4,1.2975435816164818
178,PCK1,1.2678288431061806
181,BCR,1.2579239302694136
208,DDR1,1.1489698890649762
230,TYRO3,1.0499207606973058
249,BUB1B,0.9904912836767036
253,DSTYK,0.9904912836767036
261,MAP2K1,0.9805863708399368
289,SGK2,0.9013470681458003
304,MAP2K3,0.8617274167987321
308,MAP2K7,0.8518225039619652
337,CAMK2B,0.8022979397781299
425,MAP2K2,0.6339144215530903
459,PIP4K2C,0.5645800316957211
493,MAP2K6,0.5249603803486529
509,MAP2K5,0.4952456418383518
583,PKDCC,0.3367670364500792
620,NME1,0.1188589540412044
